id;fecha_cambio;por_defecto;fecha_modificacion;nombre_editor
1;2020-12-10;false;2020-12-10;Awesome New Jersey red
2;2020-12-09;false;2020-12-09;models circuit collaborative
3;2020-12-09;false;2020-12-10;Chicken Cambridgeshire
4;2020-12-10;true;2020-12-10;Berkshire
5;2020-12-09;false;2020-12-10;Steel
6;2020-12-10;true;2020-12-10;Buckinghamshire Plastic panel
7;2020-12-09;false;2020-12-10;Persevering Money Market Account
8;2020-12-10;true;2020-12-10;Games Movies
9;2020-12-10;true;2020-12-10;Innovative
10;2020-12-10;false;2020-12-10;Jewelery calculate
