id;fecha_cambio;por_defecto;fecha_modificacion;nombre_editor
1;2020-12-10;true;2020-12-09;Luxembourg Legacy Gorgeous Fresh Ball
2;2020-12-09;false;2020-12-10;Guadeloupe grey
3;2020-12-10;false;2020-12-09;deliver Engineer Brook
4;2020-12-10;true;2020-12-09;vortals Bedfordshire
5;2020-12-10;true;2020-12-09;open-source
6;2020-12-09;false;2020-12-10;user-centric flexibility
7;2020-12-10;true;2020-12-10;upward-trending
8;2020-12-10;false;2020-12-10;multi-tasking
9;2020-12-10;false;2020-12-10;Credit Card Account neural Manager
10;2020-12-10;true;2020-12-10;systemic invoice transmit
