id;titulo;descripcion;numero_puestos;salario_minimo;salario_maximo;fecha_alta;fecha_necesidad
1;Implementation robust Ohio;logistical Chicken Reunion;59456;22971;59159;2020-12-09;2020-12-10
2;bricks-and-clicks;auxiliary;78499;9047;19580;2020-12-10;2020-12-09
3;Cedi instruction set;software input;34078;78479;68695;2020-12-10;2020-12-10
4;driver Planner;synergies;18206;4389;43807;2020-12-10;2020-12-10
5;enhance Program;quantify;65295;95418;26334;2020-12-10;2020-12-09
6;repurpose global;metrics hardware Court;32319;96071;31285;2020-12-10;2020-12-10
7;parse synthesizing Alabama;silver Refined Soft Shirt tan;40799;40252;58006;2020-12-10;2020-12-10
8;Ports Global Michigan;e-business Bike;39399;68151;20765;2020-12-10;2020-12-10
9;next generation XSS;Idaho metrics;34894;637;58806;2020-12-10;2020-12-10
10;invoice;Small;94647;14145;950;2020-12-10;2020-12-10
